TimeStamp,Volatility,Currency,Event 
1427092200,2,JPY,Investing.com USD/JPY Index
1427092200,2,NZD,Investing.com NZD/USD Index
1427092200,2,EUR,Investing.com EUR/USD Index
1427100000,2,USD,FOMC Member Mester Speaks  
1427108400,2,GBP,CBI Industrial Trends Orders (Mar)
1427119200,2,USD,Existing Home Sales (MoM) (Feb)
1427119200,3,USD,Existing Home Sales (Feb)
1427119200,3,EUR,ECB President Draghi Speaks  
1427127600,2,USD,FOMC Member Stanley Fischer Speaks  
1427159700,2,USD,FOMC Member Williams Speaks  
1427161500,3,CNY,Caixin Manufacturing PMI (Mar)  
1427184000,2,EUR,French Manufacturing PMI (Mar)  
1427184000,2,EUR,French Services PMI (Mar)  
1427185800,3,EUR,German Manufacturing PMI (Mar)  
1427185800,2,EUR,German Services PMI (Mar)  
1427187600,2,EUR,Manufacturing PMI (Mar)  
1427187600,2,EUR,Markit Composite PMI (Mar)  
1427187600,2,EUR,Services PMI (Mar)  
1427189400,2,GBP,CPI (MoM) (Feb)
1427189400,3,GBP,CPI (YoY) (Feb)
1427189400,2,GBP,PPI Input (MoM) (Feb)
1427191500,2,USD,FOMC Member Bullard Speaks  
1427200200,2,USD,Core CPI (YoY) (Feb)
1427200200,3,USD,Core CPI (MoM) (Feb)
1427200200,2,USD,CPI (MoM) (Feb)
1427204700,2,USD,Manufacturing PMI (Mar)  
1427205600,3,USD,New Home Sales (Feb)
1427205600,2,USD,New Home Sales (MoM) (Feb)
1427229000,2,USD,API Weekly Crude Oil Stock
1427233500,2,NZD,Trade Balance (MoM) (Feb)
1427233500,2,NZD,Trade Balance (YoY) (Feb)
1427243400,2,AUD,RBA Financial Stability Review
1427274000,2,EUR,German Business Expectations (Mar)
1427274000,2,EUR,German Current Assessment (Mar)
1427274000,3,EUR,German Ifo Business Climate Index (Mar)
1427275800,2,GBP,Gross Mortgage Approvals
1427286600,3,USD,Core Durable Goods Orders (MoM) (Feb)
1427286600,2,USD,Durable Goods Orders (MoM) (Feb)
1427293800,3,USD,Crude Oil Inventories
1427302800,2,EUR,France Jobseekers Total (Feb)
1427243400,2,AUD,RBA Financial Stability Review
1427274000,2,EUR,German Business Expectations (Mar)
1427274000,2,EUR,German Current Assessment (Mar)
1427274000,3,EUR,German Ifo Business Climate Index (Mar)
1427275800,2,GBP,Gross Mortgage Approvals
1427286600,3,USD,Core Durable Goods Orders (MoM) (Feb)
1427286600,2,USD,Durable Goods Orders (MoM) (Feb)
1427293800,3,USD,Crude Oil Inventories
1427302800,2,EUR,France Jobseekers Total (Feb)
1427353200,2,EUR,GfK German Consumer Climate (Apr)
1427355900,2,EUR,French GDP (QoQ) (Q4)
1427358900,2,USD,FOMC Member Bullard Speaks  
1427362200,2,GBP,Core Retail Sales (MoM) (Feb)
1427362200,2,GBP,Core Retail Sales (YoY) (Feb)
1427362200,2,GBP,Retail Sales (YoY) (Feb)
1427362200,3,GBP,Retail Sales (MoM) (Feb)
1427371200,2,BRL,Unemployment Rate (Feb)
1427371200,2,RUB,Central Bank reserves (USD)
1427373000,2,USD,Initial Jobless Claims
1427374800,2,USD,FOMC Member Lockhart Speaks  
1427375700,3,EUR,ECB President Draghi Speaks  
1427376300,2,ZAR,Interest Rate Decision (2M)
1427376600,3,CAD,BoC Gov Poloz Speaks  
